@relation circle

@attribute aa numeric
@attribute bb numeric
@attribute classe {TRUE,FALSE}

@data
0.110064,0.47554,TRUE
0.466243,0.509716,FALSE
0.255566,0.415616,TRUE
0.376956,0.966368,FALSE
0.325063,0.48257,TRUE
0.578892,0.174274,FALSE
0.13532,0.533302,TRUE
0.616146,0.160948,FALSE
0.081395,0.511974,TRUE
0.890619,0.50394,FALSE
0.260317,0.363612,TRUE
0.327933,0.079,FALSE
0.208388,0.454169,TRUE
0.501816,0.111433,FALSE
0.292381,0.529685,TRUE
0.983183,0.199011,FALSE
0.33695,0.442797,TRUE
0.097728,0.808845,FALSE
0.083136,0.573153,TRUE
0.392,0.730375,FALSE
0.131985,0.382751,TRUE
0.345624,0.700794,FALSE
0.197154,0.381988,TRUE
0.864145,0.750072,FALSE
0.145521,0.438187,TRUE
0.959025,0.714257,FALSE
0.217752,0.41191,TRUE
0.401858,0.330361,FALSE
0.128778,0.420018,TRUE
0.846851,0.483104,FALSE
0.110563,0.435798,TRUE
0.323016,0.957972,FALSE
0.166258,0.582377,TRUE
0.2989,0.759551,FALSE
0.316361,0.419931,TRUE
0.590524,0.86006,FALSE
0.216477,0.496394,TRUE
0.801223,0.219707,FALSE
0.302654,0.40323,TRUE
0.920692,0.10768,FALSE
0.317062,0.419856,TRUE
0.794333,0.943045,FALSE
0.26621,0.507412,TRUE
0.863196,0.800711,FALSE
0.113402,0.509152,TRUE
0.090812,0.026997,FALSE
0.117715,0.561378,TRUE
0.737654,0.483853,FALSE
0.091995,0.570165,TRUE
0.851553,0.628119,FALSE
0.193974,0.467248,TRUE
0.120776,0.943792,FALSE
0.181224,0.433135,TRUE
0.130721,0.285841,FALSE
0.339789,0.474655,TRUE
0.064805,0.101593,FALSE
0.092574,0.506243,TRUE
0.755193,0.815433,FALSE
0.336494,0.530251,TRUE
0.626355,0.666249,FALSE
0.183419,0.644908,TRUE
0.643789,0.26059,FALSE
0.067809,0.557123,TRUE
0.217505,0.090872,FALSE
0.132545,0.576822,TRUE
0.741674,0.556144,FALSE
0.059344,0.513772,TRUE
0.996596,0.31579,FALSE
0.054345,0.485303,TRUE
0.33003,0.041681,FALSE
0.196151,0.543621,TRUE
0.446867,0.499393,FALSE
0.228545,0.368839,TRUE
0.19313,0.016519,FALSE
0.229356,0.547073,TRUE
0.313627,0.679965,FALSE
0.169304,0.421382,TRUE
0.806563,0.303512,FALSE
0.169049,0.450258,TRUE
0.418344,0.305454,FALSE
0.294823,0.467693,TRUE
0.30509,0.019496,FALSE
0.12056,0.39292,TRUE
