@relation gauss

@attribute aa numeric
@attribute bb numeric
@attribute classe {TRUE,FALSE}

@data
-0.840855,-1.077911,TRUE
0.316934,-0.48468,FALSE
1.384359,0.039007,TRUE
2.198959,-4.245315,FALSE
-1.255492,-1.168418,TRUE
2.403154,-4.921966,FALSE
0.070143,-0.886091,TRUE
4.625826,0.866904,FALSE
1.711441,-1.113187,TRUE
0.875848,-6.067597,FALSE
-0.602908,0.791463,TRUE
4.712727,8.676658,FALSE
-0.472166,0.361086,TRUE
0.790234,2.094421,FALSE
-0.635371,0.173361,TRUE
0.729277,-6.38745,FALSE
-0.285774,1.202606,TRUE
0.853689,4.492012,FALSE
0.138108,-0.359121,TRUE
2.34473,1.669727,FALSE
1.22763,-1.185089,TRUE
11.959898,5.546174,FALSE
-0.801779,-0.439399,TRUE
-6.101568,6.237264,FALSE
-1.080393,0.878118,TRUE
-6.437574,5.543991,FALSE
-0.157534,0.715198,TRUE
-1.759744,-1.478693,FALSE
-1.07176,0.627476,TRUE
0.418801,1.367152,FALSE
-0.138986,0.748047,TRUE
4.272193,2.325708,FALSE
-0.597313,-0.663891,TRUE
-5.468951,3.370332,FALSE
-2.183967,-0.026892,TRUE
4.01953,-0.101527,FALSE
0.240817,-1.219766,TRUE
9.43303,-2.553946,FALSE
-0.259355,1.77433,TRUE
8.124645,-2.703418,FALSE
0.900512,2.296078,TRUE
3.131218,-3.595481,FALSE
0.941869,-0.703331,TRUE
4.788347,3.358791,FALSE
1.467962,-0.041435,TRUE
8.275697,-7.02188,FALSE
0.706761,-0.612362,TRUE
3.696328,-0.428602,FALSE
0.819009,-0.256365,TRUE
0.580255,4.107402,FALSE
-0.293482,-0.67114,TRUE
4.503194,2.16398,FALSE
1.418589,-0.360063,TRUE
3.842309,0.241532,FALSE
1.498774,0.733426,TRUE
3.802305,6.384649,FALSE
-0.657082,-1.09233,TRUE
2.5285,-0.306317,FALSE
-0.852795,-0.332994,TRUE
0.167176,-1.022486,FALSE
0.315915,-2.126993,TRUE
4.678454,-1.213637,FALSE
1.109694,0.763164,TRUE
3.079593,7.145046,FALSE
2.215461,-0.063439,TRUE
2.928579,-2.092343,FALSE
1.217104,0.268372,TRUE
3.360031,-0.944487,FALSE
1.479222,-0.364909,TRUE
-2.181083,5.715898,FALSE
0.951574,-0.784147,TRUE
7.218727,3.63967,FALSE
-1.009533,-0.305018,TRUE
3.285582,8.659426,FALSE
-2.000473,1.45076,TRUE
0.098644,4.92661,FALSE
-1.762186,0.215194,TRUE
3.237888,0.665761,FALSE
-0.142608,0.7137,TRUE
0.08816,-0.526351,FALSE
1.55006,1.032248,TRUE
6.522446,1.647431,FALSE
-0.802423,-0.672406,TRUE
-1.327564,2.994347,FALSE
-0.074579,1.52497,TRUE
1.241408,-3.05506,FALSE
1.895668,-1.336966,TRUE
3.472703,-3.012604,FALSE
-0.456569,0.620961,TRUE
3.33231,-1.908801,FALSE
0.562223,-0.116238,TRUE
-4.080098,3.031971,FALSE
-0.887009,0.595687,TRUE
3.044552,-4.071062,FALSE
-0.460245,-1.494631,TRUE
0.377019,1.725513,FALSE
-0.724328,-1.396322,TRUE
3.276456,-5.808997,FALSE
-0.069211,0.906311,TRUE
2.957834,11.336075,FALSE
1.463249,-0.246481,TRUE
5.323586,7.733312,FALSE
