@relation whatever

@attribute a numeric
@attribute b numeric
@attribute class { FALSE , TRUE } 


@data
0.51291,0.51443,FALSE
0.3504,0.019009,TRUE
0.43367,0.73831,FALSE
0.11597,0.015617,TRUE
0.19215,0.52422,FALSE
0.66171,0.086374,TRUE
0.44604,0.5575,FALSE
0.52809,0.11458,TRUE
0.36082,0.40283,FALSE
0.17327,0.017224,TRUE
0.39334,0.82393,FALSE
0.011081,0.046623,TRUE
0.93385,0.30412,FALSE
0.78595,0.082146,TRUE
0.11939,0.67093,FALSE
0.86239,0.031649,TRUE
0.60118,0.20585,FALSE
0.94041,0.083111,TRUE
0.27203,0.9352,FALSE
0.92132,0.10841,TRUE
0.81288,0.24974,FALSE
0.32038,0.13158,TRUE
0.001763,0.66606,FALSE
0.78529,0.058937,TRUE
0.78968,0.2943,FALSE
0.86215,0.028754,TRUE
0.34506,0.47119,FALSE
0.71013,0.028566,TRUE
0.57745,0.33042,FALSE
0.046425,0.0542,TRUE
0.67788,0.29745,FALSE
0.34016,0.027963,TRUE
0.83286,0.94589,FALSE
0.062254,0.060791,TRUE
0.59869,0.21266,FALSE
0.90567,0.12132,TRUE
0.44403,0.78169,FALSE
0.20977,0.12015,TRUE
0.47156,0.52173,FALSE
0.65955,0.021505,TRUE
0.1353,0.91482,FALSE
0.21975,0.049505,TRUE
0.12538,0.31714,FALSE
0.97675,0.060305,TRUE
0.75334,0.4894,FALSE
0.46173,0.042169,TRUE
0.70479,0.45377,FALSE
0.52277,0.021434,TRUE
0.20708,0.43442,FALSE
0.1427,0.08177,TRUE
0.58185,0.21097,FALSE
0.19428,0.054213,TRUE
0.82003,0.38624,FALSE
0.86254,0.12928,TRUE
0.35787,0.70557,FALSE
0.59334,0.052155,TRUE
0.88284,0.94063,FALSE
0.30054,0.039988,TRUE
0.35618,0.36055,FALSE
0.70473,0.066229,TRUE
0.5549,0.35904,FALSE
0.20804,0.11304,TRUE
0.40752,0.27267,FALSE
0.55747,0.086929,TRUE
0.093426,0.29254,FALSE
0.59589,0.014886,TRUE
0.93446,0.54132,FALSE
0.49362,0.05502,TRUE
0.5716,0.86649,FALSE
0.69101,0.16886,TRUE
0.2218,0.87273,FALSE
0.36738,0.10551,TRUE
0.41435,0.9495,FALSE
0.99246,0.0427,TRUE
0.27587,0.56629,FALSE
0.7654,0.020935,TRUE
0.23093,0.37919,FALSE
0.64796,0.064847,TRUE
0.40404,0.73841,FALSE
0.96172,0.13739,TRUE
0.81723,0.2471,FALSE
0.95189,0.073589,TRUE
0.053122,0.83344,FALSE
0.56747,0.10701,TRUE
0.80899,0.66402,FALSE
0.64591,0.15413,TRUE
0.70171,0.64986,FALSE
0.068325,0.06721,TRUE
0.007349,0.55796,FALSE
0.093071,0.047955,TRUE
0.9353,0.61714,FALSE
0.31871,0.10913,TRUE
0.84521,0.441,FALSE
0.4866,0.052837,TRUE
0.19625,0.35511,FALSE
0.96959,0.17216,TRUE
0.10398,0.63216,FALSE
0.8394,0.14444,TRUE
0.25393,0.86903,FALSE
0.99864,0.021278,TRUE
0.10904,0.66086,FALSE
0.67925,0.027512,TRUE
0.9967,0.64553,FALSE
0.39773,0.12518,TRUE
