@relation sine1

@attribute aa numeric
@attribute bb numeric
@attribute classe {TRUE,FALSE}

@data
0.200214,0.02795,TRUE
0.685219,0.852735,FALSE
0.916876,0.409201,TRUE
0.284399,0.870664,FALSE
0.10465,0.012673,TRUE
0.701057,0.834215,FALSE
0.52796,0.0946,TRUE
0.807935,0.818425,FALSE
0.9565,0.108533,TRUE
0.110453,0.315939,FALSE
0.273285,0.212047,TRUE
0.490513,0.628431,FALSE
0.318404,0.20066,TRUE
0.559173,0.775986,FALSE
0.262593,0.147656,TRUE
0.201875,0.49702,FALSE
0.387526,0.334605,TRUE
0.88787,0.869574,FALSE
0.554923,0.189545,TRUE
0.842179,0.905598,FALSE
0.890207,0.091703,TRUE
0.720701,0.787098,FALSE
0.21134,0.069263,TRUE
0.225717,0.337208,FALSE
0.139984,0.113025,TRUE
0.479914,0.6751,FALSE
0.437412,0.323101,TRUE
0.965964,0.837971,FALSE
0.141914,0.103932,TRUE
0.954979,0.973413,FALSE
0.444731,0.332463,TRUE
0.059362,0.143917,FALSE
0.275149,0.068841,TRUE
0.031148,0.125528,FALSE
0.014482,0.007086,TRUE
0.487169,0.647055,FALSE
0.595152,0.062386,TRUE
0.597853,0.62263,FALSE
0.397681,0.372563,TRUE
0.39683,0.497903,FALSE
0.816076,0.72057,TRUE
0.235199,0.363783,FALSE
0.82687,0.177276,TRUE
0.533476,0.71086,FALSE
0.928943,0.387257,TRUE
0.549795,0.985709,FALSE
0.760143,0.18614,TRUE
0.06851,0.343234,FALSE
0.793609,0.284325,TRUE
0.632803,0.645494,FALSE
0.384577,0.094192,TRUE
0.566273,0.76511,FALSE
0.921991,0.286372,TRUE
0.975878,0.925218,FALSE
0.933034,0.617316,TRUE
0.381163,0.536418,FALSE
0.255564,0.034719,TRUE
0.257484,0.673627,FALSE
0.196886,0.072294,TRUE
0.136401,0.846705,FALSE
0.623967,0.009763,TRUE
0.173745,0.719192,FALSE
0.866435,0.592335,TRUE
0.989336,0.880377,FALSE
0.986636,0.39599,TRUE
0.892013,0.839387,FALSE
0.888218,0.470065,TRUE
0.157344,0.987108,FALSE
0.930459,0.286749,TRUE
0.82693,0.917568,FALSE
0.829343,0.159649,TRUE
0.71734,0.716712,FALSE
0.15636,0.059202,TRUE
0.835461,0.947584,FALSE
0.022725,0.021054,TRUE
0.919127,0.868645,FALSE
0.039019,0.022828,TRUE
0.70012,0.900326,FALSE
0.4433,0.326965,TRUE
0.313868,0.873365,FALSE
0.939436,0.685352,TRUE
0.823745,0.890783,FALSE
0.211154,0.052536,TRUE
0.091629,0.20581,FALSE
0.470275,0.424297,TRUE
0.050061,0.550455,FALSE
0.970998,0.0748,TRUE
0.783156,0.778689,FALSE
0.32399,0.233252,TRUE
0.611486,0.851532,FALSE
0.713018,0.296795,TRUE
0.335997,0.68347,FALSE
0.187537,0.13504,TRUE
0.396902,0.537083,FALSE
0.32267,0.021406,TRUE
0.815956,0.909742,FALSE
0.234432,0.018887,TRUE
0.625407,0.664638,FALSE
0.472411,0.372043,TRUE
0.4557,0.85427,FALSE
0.9283,0.322367,TRUE
0.720733,0.762676,FALSE
0.574454,0.453069,TRUE
0.920238,0.97904,FALSE
0.846615,0.49769,TRUE
0.398566,0.730987,FALSE
0.276981,0.210108,TRUE
0.519527,0.632386,FALSE
0.455332,0.338505,TRUE
0.316483,0.400728,FALSE
0.177495,0.100164,TRUE
0.515462,0.985798,FALSE
0.774367,0.014037,TRUE
0.295925,0.803211,FALSE
0.45517,0.008053,TRUE
0.392933,0.963532,FALSE
0.474449,0.456215,TRUE
0.103139,0.549329,FALSE
0.592226,0.403872,TRUE
0.186156,0.962673,FALSE
0.127856,0.10887,TRUE
0.981889,0.842825,FALSE
0.803677,0.155178,TRUE
0.869546,0.820433,FALSE
0.281507,0.263937,TRUE
0.042204,0.175998,FALSE
0.69018,0.26705,TRUE
0.762943,0.955234,FALSE
0.22361,0.013742,TRUE
0.333794,0.816149,FALSE
0.366406,0.182047,TRUE
0.177375,0.200884,FALSE
0.017762,0.007229,TRUE
0.844163,0.846717,FALSE
0.38144,0.20812,TRUE
0.005525,0.398175,FALSE
0.101618,0.042956,TRUE
0.434882,0.975807,FALSE
0.389867,0.08235,TRUE
0.595685,0.56815,FALSE
0.419139,0.098701,TRUE
0.248673,0.73896,FALSE
0.410751,0.289032,TRUE
0.899376,0.976722,FALSE
0.635715,0.367174,TRUE
0.723839,0.725211,FALSE
0.512911,0.46775,TRUE
0.644705,0.982062,FALSE
0.660391,0.121614,TRUE
0.697735,0.682574,FALSE
0.438273,0.059192,TRUE
0.611701,0.713974,FALSE
0.834844,0.330323,TRUE
0.080461,0.320397,FALSE
0.54819,0.334549,TRUE
0.696263,0.734365,FALSE
0.575022,0.039113,TRUE
0.318812,0.589177,FALSE
0.286757,0.065651,TRUE
0.813379,0.954437,FALSE
0.690905,0.100657,TRUE
0.336966,0.404375,FALSE
0.040728,0.033065,TRUE
0.908612,0.962725,FALSE
0.835351,0.112681,TRUE
0.648894,0.870659,FALSE
0.490393,0.420065,TRUE
0.172885,0.219809,FALSE
0.750379,0.107165,TRUE
0.981465,0.94682,FALSE
0.238756,0.152708,TRUE
0.927336,0.855422,FALSE
0.991512,0.375652,TRUE
0.042356,0.678036,FALSE
0.317952,0.16919,TRUE
0.863998,0.774262,FALSE
0.4698,0.094786,TRUE
0.966248,0.969707,FALSE
0.300891,0.041148,TRUE
0.086689,0.935082,FALSE
0.822789,0.185083,TRUE
0.725253,0.890582,FALSE
0.144025,0.141521,TRUE
0.484908,0.484638,FALSE
0.711248,0.261384,TRUE
0.092266,0.392398,FALSE
0.816134,0.177482,TRUE
0.222447,0.727824,FALSE
0.8389,0.406143,TRUE
0.156892,0.554248,FALSE
0.649366,0.092844,TRUE
0.75639,0.985589,FALSE
0.364452,0.249031,TRUE
0.931639,0.87673,FALSE
0.294533,0.253171,TRUE
0.345677,0.498752,FALSE
0.427573,0.362969,TRUE
0.612759,0.8369,FALSE
0.476357,0.410065,TRUE
0.668584,0.631432,FALSE
0.023,0.008317,TRUE
0.129286,0.925037,FALSE
0.871878,0.289835,TRUE
0.704402,0.829798,FALSE
0.750414,0.666917,TRUE
0.51619,0.915887,FALSE
0.582574,0.103152,TRUE
0.184551,0.681648,FALSE
0.476936,0.393573,TRUE
0.262839,0.763136,FALSE
0.814289,0.159536,TRUE
0.753981,0.852069,FALSE
0.409487,0.09868,TRUE
0.491364,0.897781,FALSE
0.024669,0.022258,TRUE
0.323415,0.496138,FALSE
0.225572,0.125492,TRUE
0.109769,0.548111,FALSE
0.899754,0.025962,TRUE
0.017336,0.294502,FALSE
0.170319,0.14945,TRUE
0.442754,0.722847,FALSE
0.947639,0.495406,TRUE
0.237063,0.60049,FALSE
0.995341,0.147057,TRUE
0.799252,0.967477,FALSE
0.555531,0.210867,TRUE
0.810287,0.814232,FALSE
0.088393,0.00019,TRUE
0.155683,0.592175,FALSE
0.787835,0.427712,TRUE
0.08365,0.66754,FALSE
0.059974,0.006102,TRUE
0.935299,0.897728,FALSE
0.678576,0.03297,TRUE
0.153895,0.611025,FALSE
0.520907,0.282313,TRUE
0.029178,0.341309,FALSE
0.419946,0.31787,TRUE
0.834133,0.938005,FALSE
0.879172,0.582056,TRUE
0.203734,0.233858,FALSE
0.81188,0.446669,TRUE
0.994079,0.98897,FALSE
0.09377,0.08918,TRUE
0.515432,0.624371,FALSE
0.050166,0.018575,TRUE
0.124217,0.276958,FALSE
0.855257,0.115267,TRUE
0.294475,0.752552,FALSE
0.614124,0.508257,TRUE
0.114023,0.483985,FALSE
0.344566,0.279068,TRUE
0.174243,0.377179,FALSE
0.893084,0.095587,TRUE
0.060694,0.719275,FALSE
0.085905,0.031795,TRUE
0.944608,0.966764,FALSE
0.074734,0.01438,TRUE
0.634558,0.695641,FALSE
0.911259,0.167965,TRUE
0.424594,0.745871,FALSE
0.023935,0.002526,TRUE
0.25605,0.478538,FALSE
0.107312,0.078013,TRUE
0.127822,0.452374,FALSE
0.458569,0.089424,TRUE
0.278678,0.383426,FALSE
0.768213,0.379654,TRUE
0.573188,0.56578,FALSE
0.67569,0.485274,TRUE
0.337845,0.86194,FALSE
0.613357,0.485752,TRUE
0.194037,0.492609,FALSE
0.141481,0.095965,TRUE
0.13691,0.220629,FALSE
0.741748,0.088283,TRUE
0.391458,0.616318,FALSE
0.617592,0.172644,TRUE
0.679155,0.835182,FALSE
0.213017,0.135323,TRUE
0.225856,0.294313,FALSE
0.488291,0.263176,TRUE
0.313693,0.584185,FALSE
0.98538,0.287901,TRUE
0.186051,0.701094,FALSE
0.830822,0.521654,TRUE
0.824192,0.985737,FALSE
0.380165,0.352353,TRUE
0.915872,0.975948,FALSE
0.337826,0.251801,TRUE
0.674054,0.751149,FALSE
0.53981,0.46331,TRUE
0.644496,0.874964,FALSE
0.40912,0.037501,TRUE
0.453131,0.569338,FALSE
0.078503,0.054222,TRUE
0.024439,0.888979,FALSE
0.347308,0.123131,TRUE
0.91039,0.983634,FALSE
0.827948,0.107653,TRUE
0.160805,0.162573,FALSE
0.773906,0.454322,TRUE
0.19075,0.208405,FALSE
0.302447,0.164895,TRUE
0.978267,0.985962,FALSE
0.790551,0.507644,TRUE
0.028415,0.08483,FALSE
0.269431,0.10666,TRUE
0.845564,0.805894,FALSE
0.89219,0.39708,TRUE
0.206491,0.960007,FALSE
0.367646,0.058735,TRUE
0.668793,0.909284,FALSE
0.884223,0.524301,TRUE
0.491411,0.601952,FALSE
0.328768,0.185751,TRUE
0.039131,0.72192,FALSE
0.573823,0.446162,TRUE
