iteracao,acc_prequencial
334,0.8622754491017968
667,0.8935532233883063
1000,0.9029999999999998
1333,0.7929482370592643
1666,0.7346938775510202
1999,0.6953476738369181
2332,0.6676672384219551
2665,0.6469043151969978
2998,0.6304202801867909
3331,0.6172320624437103
3664,0.6067139737991264
3997,0.5976982737052784
4330,0.5903002309468824
4663,0.5839588247909073
4996,0.5782626100880709
5329,0.5732782886094948
5662,0.5690568703638292
5995,0.5651376146789002
6328,0.5617888748419732
6661,0.5587749587149096
6994,0.5559050614812711
7327,0.5532960283881541
7660,0.5510443864229769
7993,0.5488552483423004
8326,0.5469613259668515
8659,0.5452130731031307
8992,0.5434830960854096
9325,0.5418766756032178
9658,0.5404845723752332
9991,0.5390851766589939
