iteracao,acc_prequencial
334,0.8622754491017968
667,0.8890554722638686
1000,0.8830000000000001
1333,0.8709677419354843
1666,0.8805522208883557
1999,0.8894447223611809
2332,0.8790737564322474
2665,0.8750469043151969
2998,0.8792528352234827
3331,0.8748123686580608
3664,0.8774563318777294
3997,0.8821616212159126
4330,0.8780600461893769
4663,0.8835513617842591
4996,0.8863090472377901
5329,0.8838431225370612
5662,0.8823737195337329
5995,0.8852376980817342
6328,0.881321112515803
6661,0.8845518690887255
6994,0.886903059765513
7327,0.8827623856967377
7660,0.8832898172323762
7993,0.8859001626423121
8326,0.8832572663944273
8659,0.8824344612541851
8992,0.8814501779359418
9325,0.878820375335119
9658,0.8775108718161099
9991,0.8757882093884485
