classificador,base,acc
0,0,0.9552238805970148
0,1,0.9776119402985073
0,2,0.8982035928143715
0,3,0.8622754491017968
0,4,0.8901389808074128
0,5,0.9710610932475882
0,6,0.999755037050646
1,0,0.9552238805970148
1,1,0.9776119402985073
1,2,0.8982035928143715
1,3,0.8622754491017968
1,4,0.8927862342819328
1,5,0.9710610932475883
1,6,0.999755037050646
2,0,0.9552238805970148
2,1,0.9776119402985073
2,2,0.8982035928143715
2,3,0.8622754491017968
2,4,0.4579748510919919
2,5,0.9710610932475882
2,6,0.999755037050646
0,0,0.9548872180451128
0,1,0.9700374531835205
0,2,0.8935532233883067
0,3,0.8935532233883063
0,4,0.8493876199933788
0,5,0.9790660225442831
0,6,0.9998775147747814
1,0,0.9548872180451128
1,1,0.9700374531835205
1,2,0.8935532233883067
1,3,0.8935532233883063
1,4,0.8771929824561422
1,5,0.9790660225442832
1,6,0.9998775147747814
2,0,0.9548872180451128
2,1,0.9700374531835205
2,2,0.8935532233883067
2,3,0.8935532233883063
2,4,0.435948361469712
2,5,0.9790660225442831
2,6,0.9998775147747814
0,0,0.9547738693467334
0,1,0.975
0,2,0.899
0,3,0.9029999999999998
0,4,0.8565438093136157
0,5,0.8818474758324377
0,6,0.9998775135245445
1,0,0.9547738693467334
1,1,0.975
1,2,0.899
1,3,0.9029999999999998
1,4,0.8825866254689932
1,5,0.9419978517722866
1,6,0.9998775135245445
2,0,0.9547738693467334
2,1,0.975
2,2,0.899
2,3,0.9029999999999998
2,4,0.416243654822335
2,5,0.9387755102040806
2,6,0.9998775135245445
0,0,0.943396226415094
0,1,0.973733583489681
0,2,0.7104276069017256
0,3,0.6999249812453109
0,4,0.8381062737957269
0,5,0.8162771958098306
0,6,0.9998928237869954
1,0,0.943396226415094
1,1,0.973733583489681
1,2,0.7846961740435103
1,3,0.8844711177794443
1,4,0.8756828339678886
1,5,0.9137792103142616
1,6,0.9998928237869954
2,0,0.943396226415094
2,1,0.973733583489681
2,2,0.7914478619654917
2,3,0.7929482370592643
2,4,0.4121834133421614
2,5,0.8879935535858171
2,6,0.9998928237869954
0,0,0.9516616314199399
0,1,0.9759759759759759
0,2,0.6116446578631446
0,3,0.5864345738295315
0,4,0.8332671169381509
0,5,0.7736943907156669
0,6,0.999669283815728
1,0,0.9516616314199399
1,1,0.9759759759759759
1,2,0.7887154861944772
1,3,0.8913565426170468
1,4,0.8757780426433602
1,5,0.9116698903932939
1,6,0.9995467963400756
2,0,0.9516616314199399
2,1,0.9759759759759759
2,2,0.7334933973589434
2,3,0.7346938775510202
2,4,0.41848761753410185
2,5,0.8607350096711788
2,6,0.9677000526696147
0,0,0.9571788413098239
0,1,0.9762202753441808
0,2,0.6043021510755372
0,3,0.5302651325662829
0,4,0.8419600485597605
0,5,0.7737775389575493
0,6,0.9997244026171462
1,0,0.9571788413098239
1,1,0.9762202753441808
1,2,0.796898449224611
1,3,0.8984492246123066
1,4,0.8688886436375693
1,5,0.902203116603975
1,6,0.9996223295123979
2,0,0.9571788413098239
2,1,0.9762202753441808
2,2,0.6943471735867922
2,3,0.6953476738369181
2,4,0.4353824081227242
2,5,0.8328855454056953
2,6,0.9527197378762623
0,0,0.9632829373650112
0,1,0.9763948497854082
0,2,0.5840480274442534
0,3,0.5613207547169807
0,4,0.8433450004729922
