classificador,base,acc
Simples,LINE,0.9552238805970148
Simples,CIRCLE,0.9776119402985073
Simples,GAUSS,0.8982035928143715
Simples,SINE1,0.8622754491017968
Simples,ELEC,0.8901389808074128
Simples,SPAM,0.9710610932475882
Simples,KDD,0.999755037050646
DDM,LINE,0.9552238805970148
DDM,CIRCLE,0.9776119402985073
DDM,GAUSS,0.8982035928143715
DDM,SINE1,0.8622754491017968
DDM,ELEC,0.8927862342819328
DDM,SPAM,0.9710610932475883
DDM,KDD,0.999755037050646
EDDM,LINE,0.9552238805970148
EDDM,CIRCLE,0.9776119402985073
EDDM,GAUSS,0.8922155688622755
EDDM,SINE1,0.8622754491017968
EDDM,ELEC,0.8729318332230314
EDDM,SPAM,0.9710610932475882
EDDM,KDD,0.999755037050646
ADWIN,LINE,0.9552238805970148
ADWIN,CIRCLE,0.9776119402985073
ADWIN,GAUSS,0.8982035928143715
ADWIN,SINE1,0.8622754491017968
ADWIN,ELEC,0.4579748510919919
ADWIN,SPAM,0.9710610932475882
ADWIN,KDD,0.999755037050646
Simples,LINE,0.9548872180451128
Simples,CIRCLE,0.9700374531835205
Simples,GAUSS,0.8935532233883067
Simples,SINE1,0.8935532233883063
Simples,ELEC,0.8493876199933788
Simples,SPAM,0.9790660225442831
Simples,KDD,0.9998775147747814
DDM,LINE,0.9548872180451128
DDM,CIRCLE,0.9700374531835205
DDM,GAUSS,0.8935532233883067
DDM,SINE1,0.8935532233883063
DDM,ELEC,0.8771929824561422
DDM,SPAM,0.9790660225442832
DDM,KDD,0.9998775147747814
EDDM,LINE,0.9548872180451128
EDDM,CIRCLE,0.9700374531835205
EDDM,GAUSS,0.8890554722638688
EDDM,SINE1,0.8890554722638686
EDDM,ELEC,0.863621317444554
EDDM,SPAM,0.9790660225442831
EDDM,KDD,0.9998775147747814
ADWIN,LINE,0.9548872180451128
ADWIN,CIRCLE,0.9700374531835205
ADWIN,GAUSS,0.8935532233883067
ADWIN,SINE1,0.8935532233883063
ADWIN,ELEC,0.435948361469712
ADWIN,SPAM,0.9790660225442831
ADWIN,KDD,0.9998775147747814
Simples,LINE,0.9547738693467334
Simples,CIRCLE,0.975
Simples,GAUSS,0.899
Simples,SINE1,0.9029999999999998
Simples,ELEC,0.8565438093136157
Simples,SPAM,0.8818474758324377
Simples,KDD,0.9998775135245445
DDM,LINE,0.9547738693467334
DDM,CIRCLE,0.975
DDM,GAUSS,0.899
DDM,SINE1,0.9029999999999998
DDM,ELEC,0.8825866254689932
DDM,SPAM,0.9419978517722866
DDM,KDD,0.9998775135245445
EDDM,LINE,0.9547738693467334
EDDM,CIRCLE,0.975
EDDM,GAUSS,0.8910000000000003
EDDM,SINE1,0.8830000000000001
EDDM,ELEC,0.8730964467005069
EDDM,SPAM,0.9505907626208367
EDDM,KDD,0.9998775135245445
ADWIN,LINE,0.9547738693467334
ADWIN,CIRCLE,0.975
ADWIN,GAUSS,0.899
ADWIN,SINE1,0.9029999999999998
ADWIN,ELEC,0.416243654822335
ADWIN,SPAM,0.9387755102040806
ADWIN,KDD,0.9998775135245445
Simples,LINE,0.943396226415094
Simples,CIRCLE,0.973733583489681
Simples,GAUSS,0.7104276069017256
Simples,SINE1,0.6999249812453109
Simples,ELEC,0.8381062737957269
Simples,SPAM,0.8162771958098306
Simples,KDD,0.9998928237869954
DDM,LINE,0.943396226415094
DDM,CIRCLE,0.973733583489681
DDM,GAUSS,0.7846961740435103
DDM,SINE1,0.8844711177794443
DDM,ELEC,0.8756828339678886
DDM,SPAM,0.9137792103142616
DDM,KDD,0.9998928237869954
EDDM,LINE,0.943396226415094
EDDM,CIRCLE,0.973733583489681
EDDM,GAUSS,0.8739684921230304
EDDM,SINE1,0.8709677419354843
EDDM,ELEC,0.8677371296143007
EDDM,SPAM,0.9057211925866235
EDDM,KDD,0.9998928237869954
ADWIN,LINE,0.943396226415094
ADWIN,CIRCLE,0.973733583489681
ADWIN,GAUSS,0.7914478619654917
ADWIN,SINE1,0.7929482370592643
ADWIN,ELEC,0.4121834133421614
ADWIN,SPAM,0.8879935535858171
ADWIN,KDD,0.9998928237869954
Simples,LINE,0.9516616314199399
Simples,CIRCLE,0.9759759759759759
Simples,GAUSS,0.6116446578631446
Simples,SINE1,0.5864345738295315
Simples,ELEC,0.8332671169381509
Simples,SPAM,0.7736943907156669
Simples,KDD,0.999669283815728
DDM,LINE,0.9516616314199399
DDM,CIRCLE,0.9759759759759759
DDM,GAUSS,0.7887154861944772
DDM,SINE1,0.8913565426170468
DDM,ELEC,0.8757780426433602
DDM,SPAM,0.9116698903932939
DDM,KDD,0.9995467963400756
EDDM,LINE,0.9516616314199399
EDDM,CIRCLE,0.9759759759759759
EDDM,GAUSS,0.8697478991596631
EDDM,SINE1,0.8805522208883557
EDDM,ELEC,0.862534763607467
EDDM,SPAM,0.8942617666021925
EDDM,KDD,0.999669283815728
ADWIN,LINE,0.9516616314199399
ADWIN,CIRCLE,0.9759759759759759
ADWIN,GAUSS,0.7334933973589434
ADWIN,SINE1,0.7346938775510202
ADWIN,ELEC,0.41848761753410185
ADWIN,SPAM,0.8607350096711788
ADWIN,KDD,0.9677000526696147
Simples,LINE,0.9571788413098239
Simples,CIRCLE,0.9762202753441808
Simples,GAUSS,0.6043021510755372
Simples,SINE1,0.5302651325662829
Simples,ELEC,0.8419600485597605
Simples,SPAM,0.7737775389575493
Simples,KDD,0.9997244026171462
DDM,LINE,0.9571788413098239
DDM,CIRCLE,0.9762202753441808
DDM,GAUSS,0.796898449224611
DDM,SINE1,0.8984492246123066
DDM,ELEC,0.8688886436375693
DDM,SPAM,0.902203116603975
DDM,KDD,0.9996223295123979
EDDM,LINE,0.9571788413098239
EDDM,CIRCLE,0.9762202753441808
EDDM,GAUSS,0.868434217108553
EDDM,SINE1,0.8894447223611809
EDDM,ELEC,0.8638119412868309
EDDM,SPAM,0.8823213326168725
EDDM,KDD,0.9997244026171462
ADWIN,LINE,0.9571788413098239
ADWIN,CIRCLE,0.9762202753441808
ADWIN,GAUSS,0.6943471735867922
ADWIN,SINE1,0.6953476738369181
ADWIN,ELEC,0.4353824081227242
ADWIN,SPAM,0.8328855454056953
ADWIN,KDD,0.9527197378762623
Simples,LINE,0.9632829373650112
Simples,CIRCLE,0.9763948497854082
Simples,GAUSS,0.5840480274442534
Simples,SINE1,0.5613207547169807
Simples,ELEC,0.8433450004729922
Simples,SPAM,0.7798249654537079
Simples,KDD,0.9997637733273795
DDM,LINE,0.9632829373650112
DDM,CIRCLE,0.9763948497854082
DDM,GAUSS,0.7920240137221249
DDM,SINE1,0.891080617495712
