iteracao,acc_prequencial
311,0.9710610932475882
621,0.9790660225442831
931,0.9527389903329744
1241,0.9041095890410962
1551,0.9000644745325599
1861,0.8936055883933367
2171,0.8866881621372649
2481,0.8802902055622739
2791,0.8867789322823376
3101,0.893905191873591
3411,0.8941659337437728
3721,0.8898145659768909
4031,0.8938228727362965
4341,0.8967979728173259
4651,0.8963663728230512
4961,0.8978028623261467
5271,0.9021058622652264
5581,0.9032431463895373
5891,0.9040909862502131
6201,0.9022738268021298
6511,0.9050837045000784
6821,0.9036798123442319
7131,0.9047819380171089
7441,0.9071361376159127
7751,0.9095600567668694
8061,0.9121697059918128
8371,0.9149444510811141
8681,0.9179817993318752
8991,0.9204760315871434
9301,0.920653693151274
