classificador,base,acc
Simples,LINE,85.3
Simples,CIRCLE,85.425
Simples,GAUSS,56.56
Simples,SINE1,54.59
Simples,ELEC,80.29440324858757
Simples,SPAM,90.22951522951523
Simples,KDD,99.89098592411885
DDM,LINE,96.95
DDM,CIRCLE,94.925
DDM,GAUSS,78.71
DDM,SINE1,89.35
DDM,ELEC,84.668520480226
DDM,SPAM,92.03131703131703
DDM,KDD,99.95345466423052
EDDM,LINE,97.1
EDDM,CIRCLE,95.35
EDDM,GAUSS,86.88
EDDM,SINE1,87.57
EDDM,ELEC,84.63541666666667
EDDM,SPAM,91.8060918060918
EDDM,KDD,99.89241494758546
ADWIN,LINE,96.05
ADWIN,CIRCLE,94.625
ADWIN,GAUSS,86.11
ADWIN,SINE1,88.65
ADWIN,ELEC,83.33554025423729
ADWIN,SPAM,92.06349206349206
ADWIN,KDD,99.87057130316732
